Substructure	SMARTS	Index	Acid_or_base
0	[N:1]-[C:2](-[N:3])=[NX2:4]-[H:5]	3	B
1	[C:1](-[N:2])=[NX2+0:3]-[H]	2	B
2	[SX4:1](=[O:2])(=[O:3])([O:4]-[C,c,N,n:5])-[OX2:6]-[H]	6	A
3	[SX4:1](=[O:2])(=[O:3])(-[C,c,N,n:4])-[OX2:5]-[H]	5	A
4	[SX3:1](=[O:2])-[O:3]-[H]	3	A
5	[c,n,o:1]-[C:2](=[O:3])-[O:4]-[H]	4	A
6	[C:1](=[O:2])-[O:3]-[H]	3	A
7	[C,c,N,n:1](=[O,S:2])-[SX2,OX2:3]-[H]	3	A
8	[c,n:1]-[SX2:2]-[H]	2	A
9	[C,N:1]-[SX2:2]-[H]	2	A
10	[PX4:1](=[O:2])(-[OX2:3]-[H])(-[O+0:4])-[OX2:5]-[H]	3,6	A
11	[PX4:1](=[O:2])(-[OX2:3]-[H])(-[C,c,N,n:4])-[OX2:5]-[H]	3,6	A
12	[PX4:1](=[O])(-[O]-[H])(-[H])-[C]	3	A
13	[c,n,o:1]-[O:2]-[H]	2	A
14	[O:1]([$(C=O),$(C[Cl]),$(CF),$(C[Br]),$(CC#N):2])-[O:3]-[H]	3	A
15	[C:1]-[O:2]-[O:3]-[H]	3	A
16	[O:1]=[C;R:2]-[C;R:3]=[C;R:4]-[O:3]-[H]	5	A
17	[C:1]=[C:2]-[O:3]-[H]	3	A
18	[C:1]-[O:2]-[H]	2	A
19	[C:1](=[O:2])-[N:3]-[O:4]-[H]	4	A
20	[O,S:1]=[C;R:2]([$([#8]),$([#7]),$([#16]),$([#6][Cl]),$([#6]F),$([#6][Br]):3])-[N;R:4]([C;R:5]=[O,S:6])-[H]	6	A
21	[O,S:1]=[C;R:2]-[N;R:3]([C;R:4]=[O,S:5])-[H]	5	A
22	[F,Cl,Br,S,s,P,p:1][#6:2][CX3:3](=[O,S:4])-[NX3+0:5]([CX3:6]=[O,S:7])-[H]	7	A
23	[O,S:1]=[CX3:2]-[NX3+0:3]([CX3:4]=[O,S:5])-[H]	5	A
24	[C:1](=[O:2])-[N:3](-[Br,Cl,I,F,S,O,N,P:4])-[H]	4	A
25	[C:1](=[O:2])-[N:3]-[H]	3	A
26	[SX4:1](=[O:2])(=[O:3])-[NX3+0:4]-[H]	4	A
